"File","Path","Score","Functions","APIs","Patterns","Categories"
,,,"_M.escape;make_set;protect_segment;_M.unescape;absolute_path;_M.parse;_M.build;_M.absolute;_M.parse_path;_M.build_path","","",""
,,,"default_https_port;urlstring_totable;reg;tcp;request","","",""
,,,"_M.open;lower_headers;newboundary;send_headers;send_multipart;send_source;send_string;send_message;adjust_headers;_M.message","","Coroutines",""
,,,"get_reply;_M.connect","","",""
,,,"crcTab.hash32","","",""
,,,"deepcopy;GCCH.MsgBox;GCCH.LoadTableFromFile;Addtotable;GCCH.SaveTableToFile;TableToString;GCCH.escape_magic;GCCH.ReassembleLine;GCCH.GetParameterFromUser;GCCH.RunModFunctions;GCCH.AddCommentsAheadAndBehind;GCCH.ConvertCodes;GCCH.GetValue;GCCH.PassesValidCheck;GCCH.SplitString;StoreComment;CheckForComment;CheckForParameters;GCConverter.ConvertFiles;ConvertFiles;AddSettingsFromPost;ConvertFile;RunAllDirs;GCConverter.LaunchConfigWizard;AddNameAndDesc;findFiles;GetPostFiles;labelsToList;SaveOnClose;AddString;PopulateSettings;AddSetting;populatesettings;GCConverter.UnitTestWizard;findFiles;GetPostFiles;getIndexOfAction;GetTableNames;getFuncFromFile","","Protected Calls","UI;FileIO"
,,,"AC.GetSettings;AC.GetParkSettings;AC.SetParkSettings;AC.GetAutomationGroups;AC.LaunchWizard","mcProfileGetString","","UI"
,,,"deepcopy;IsAnInt;escapeCSV;ResizeWithRatio;OnPaint;LinearInterpolation;colorChanged;ParseString;FakeParseString;LoadFileString;LoadFileString;Main;GetPositionOfMouseEvents;FindEventPositionInPoints","","","UI;FileIO"
,,,"m6003","mcCntlGcodeExecuteWait","","M-Code"
,,,"m6005","mcCntlGcodeExecuteWait","","M-Code;UI"
,,,"m6001","mcCntlGcodeExecuteWait;mcJogVelocityStart","","M-Code"
,,,"m6002","mcCntlGcodeExecuteWait","","M-Code"
,,,"_M.open;override;tput;parse;sput;tget;sget","","",""
,,,"receiveheaders;_M.open;adjusturi;adjustproxy;adjustheaders;adjustrequest;shouldredirect;shouldreceivebody;tredirect;trequest;srequest","","",""
,,,"m6006","mcSignalGetHandle;mcSignalSetState","","M-Code"
,,,"m69","","","M-Code;Tool"
,,,"choose;format;_M.normalize;_M.stuff","","",""
,,,"_M.connect4;_M.connect6;_M.bind;_M.choose","","",""
,,,"M.globtopattern;unescape;escape;charset_end;charset;M.SplitFilename;M.dir;M.copy;M.del","","","FileIO"
,,,"tbl2number;expand;lei2str;str2bei;str2lei;cut_le_str;transform;md5_update;md5_finish;md5.new;md5.tohex;md5.sum;md5.sumhexa","","Protected Calls",""
,,,"m163_setOutput;m163","mcSignalGetHandle;mcSignalSetState","Parameter Handling","M-Code"
,,,"","mcProbing","Protected Calls",""
,,,"optexec;array2wireformat;wireformat2array;newcontext;wrap;info","","",""
,,,"m1007","","","M-Code"
,,,"mcBcs.runScan;mcBcs.SetPort;mcBcs.portOpen;mcBcs.portRead;mcBcs.portClose","","","UI;Tool"
,,,"mcGC.Line.FlipAxis;mcGC.Line.ScaleAxis;mcGC.Line.ScaleLinear;mcGC.Line.ScaleArc;mcGC.Block.Remove;mcGC.Block.SwapCode;mcGC.Block.ReplaceBlocks;Replace;UpdateMoveModal;mcGC.KeepState.CRapid;mcGC.KeepState.CLine;mcGC.KeepState.CWArc;mcGC.KeepState.CCWArc;mcGC.KeepState.SetAbs;mcGC.KeepState.SetInc;mcGC.KeepState.SetFeedRate;mcGC.KeepState.ChangeG;InsertBlock;mcGC.KeepState.UpdateModal;mcGC.KeepState.UpdateFeedRate","","",""
,,,"int18n.Translate;int18n.SetDomain;int18n.SetLanguage;int18n.AddCatalog;_;int18n.AddCatalogLookupPathPrefix","","","UI"
,,,"filter.cycle;filter.chain;empty;source.empty;source.error;source.file;source.simplify;source.string;source.rewind;source.chain;source.cat;sink.table;sink.simplify;sink.file;null;sink.null;sink.error;sink.chain;pump.step;pump.all","","",""
,,,"","mcProfileGetString","Protected Calls","UI"
,,,"mcSP.SetupPaths;AddModulePath","","Protected Calls","UI"
,,,"LSR.Functions.Engage;LSR.Functions.IgnoreTipTouch;LSR.Functions.CalibrateAsync;LSR.Functions.Disengage","mcRegGetHandle","Protected Calls","UI"
,,,"modulepaths.loadpaths","","",""
,,,"init;getFirstKey","","",""
,,,"printableInternal;xml2lua.parser;xml2lua.printable;xml2lua.toString;xml2lua.loadFile","","","FileIO"
,,,"m163","mcSignalGetHandle;mcSignalSetState","Parameter Handling","M-Code"
,,,"GCodeExecute","mcCntlGcodeExecuteWait","",""
,,,"OnPaint;main","","","UI"
,,,"Main;if;AddRow;OnUpdateUI","","","UI"
,,,"decimalToHtmlChar;hexadecimalToHtmlChar;XmlParser.new;fexists;err;stripWS;parseEntities;parseTag;parseXmlDeclaration;parseXmlProcessingInstruction;parseComment;_parseDtd;parseDtd;parseCdata;parseNormalTag;parseTagType;getNextTag","","",""
,,,"readXML;LoadXML;Main;if","","","UI;FileIO"
,,,"m107","mcSignalGetHandle;mcSignalSetState","","M-Code"
,,,"m120","","","M-Code;UI"
,,,"mcUserScript.UserMessage;m110","","","M-Code;UI"
,,,"UI.GetMachinePosition;UI.UpdatePosDisplay;UI.AxisInPosition;UI.DoCutRecovery;UI.DoDryRun;UI.DoAfterDryRun","","","UI"
,,,"spindleorient","","",""
,,,"m163_setOutput;m163","mcSignalGetHandle;mcSignalSetState","Parameter Handling","M-Code"
,,,"m401","","Probing","M-Code;Probe;UI;FileIO"
,,,"m100","mcSignalGetHandle;mcSignalSetState","","M-Code"
,,,"ParseFileName","","Protected Calls",""
,,,"mcPR.prequire","","Protected Calls",""
,,,"mcFile.escape_magic;mcFile.Write;mcFile.Append;mcFile.Close;mcFile.findFiles;mcFile.FindFile;RunAllDirs;mcFile.ParseNumberedFileNames;mcFile.extractStrValue;mcFile.DeleteFilesWExt;RunAllDirs;File.Init;mcFile.LoadTableFromFile;Addtotable;mcFile.SaveTableToFile;TableToString","","Protected Calls","UI;FileIO"
,,,"LI.GetClosestNumbers;LI.GetSingleClosestNumber;LI.GetClosestNumberForSetting;LI.GetParameters;LI.LinearInterpolation","","",""
,,,"m169","mcSignalGetHandle","","M-Code"
,,,"m6000","mcCntlGcodeExecuteWait;mcRegGetHandle","","M-Code"
,,,"m163_setOutput;m163","mcSignalGetHandle;mcSignalSetState","Parameter Handling","M-Code"
,,,"InMacroHold;vectorAngle;PointData;pointRotateScale;vectorCreate;vectorMag;pointCreate;pointPointDist;GetPosition;GetFixOffsetVars;SetFixtureOffset;mc.mcCntlCntlEnable;RunVision;m68;mc.mcCntlEnable;m168;mc.mcCntlEnable;m54;m55;m56;m57;m58;m59","mcRegGetHandle;mcCntlMacroAlarm","Parameter Handling","M-Code;UI"
,,,"LeadingZeros;StrVarReplace;GetStringGcode;GenGcode;AssembleLines;LoadParams;SetVals;Update;LoadFEPanel;IncrementSN;SaveFEPanel;SaveParams;CreateFont;RemoveComment;GetNumber;Convertline;G;X;Y;I;J;Z;ConvertFile;f1.Panel","mcProfileGetString","","UI;Tool;FileIO"
,,,"post.SetLetterAngle;post.GetLetterAngle;post.SetLetterStart;post.GetLetterStart;post.SetLetterRotationPoint;post.GetLetterRotationPoint;post.SetTranslation;post.GetSetTranslation;post.setLetterSpace;post.getLetterSpace;post.setXStart;post.setYStart;post.setHeight;post.setRapidHeight;post.setFeedHeight;post.setDepth;post.setFeedPlung;post.setFeedCut;post.setRPM;post.setCool;post.ProgStart;post.ProgEnd;post.calcpoint;post.G0;post.ZDn;post.ZUp;post.G1;post.RotateIJ;post.G2;post.G3;post.AddWidth;post.ClearSettings;post.RotatePoint;post.TranslatePoint;post.ScalePoint","","Probing","Probe"
,,,"OnPaint;main","","","UI"
,,,"OnUpdateUI","mcRegGetHandle","","UI"
,,,"CD.AddWizardIconToWindow;CD.GridDialog;SetupInputGrid;CD.ProgressBar;PulseGauge;KillFunc","","","UI"
,,,"mcCO.AddCoroutineToTable;tbl.CheckCoroutine","","Coroutines",""
,,,"email","","",""
,,,"PrintError;SetINI;GetINI;WriteOnStartUp;CreateRegister;GetItem","mcProfileGetString;mcRegGetHandle","",""
